Time	Open	High	Low	Close	Volume
2007-01-01 00:00:00	12.852	12.938	12.682	12.868	43
2007-01-02 00:00:00	12.779	13.186	12.729	13.053	271
2007-01-03 00:00:00	12.991	13.196	12.326	12.456	525
2007-01-04 00:00:00	12.466	12.828	12.201	12.448	310
2007-01-05 00:00:00	12.5	12.75	11.902	12.135	514
2007-01-07 00:00:00	12.098	12.214	11.986	12.149	3
2007-01-08 00:00:00	12.051	12.351	11.844	12.187	308
2007-01-09 00:00:00	12.153	12.522	11.985	12.336	349
2007-01-10 00:00:00	12.31	12.572	12.022	12.283	278
2007-01-11 00:00:00	12.258	12.534	12.1	12.254	448
2007-01-12 00:00:00	12.239	12.847	12.108	12.649	257
2007-01-14 00:00:00	12.798	12.915	12.646	12.687	4
2007-01-15 00:00:00	12.83	12.927	12.621	12.797	187
2007-01-16 00:00:00	12.789	12.9	12.337	12.473	340
2007-01-17 00:00:00	12.485	12.898	12.17	12.765	272
2007-01-18 00:00:00	12.765	12.935	12.388	12.641	401
2007-01-19 00:00:00	12.547	12.903	12.39	12.734	381
2007-01-22 00:00:00	12.76	13.133	12.585	12.796	471
2007-01-23 00:00:00	12.87	13.314	12.696	13.145	375
2007-01-24 00:00:00	13.166	13.28	12.852	13.136	451
2007-01-25 00:00:00	13.178	13.537	12.968	13.164	386
2007-01-26 00:00:00	13.248	13.439	12.993	13.228	235
2007-01-28 00:00:00	13.321	13.461	13.179	13.314	8
2007-01-29 00:00:00	13.33	13.447	12.952	13.152	416
2007-01-30 00:00:00	13.11	13.411	12.896	13.341	343
2007-01-31 00:00:00	13.35	13.655	13.047	13.389	405
2007-02-01 00:00:00	13.422	13.775	13.335	13.583	366
2007-02-02 00:00:00	13.611	13.724	13.058	13.317	502
2007-02-04 00:00:00	13.318	13.393	13.205	13.276	3
2007-02-05 00:00:00	13.3	13.564	13.103	13.324	364
2007-02-06 00:00:00	13.402	13.806	13.235	13.533	496
2007-02-07 00:00:00	13.521	13.763	13.407	13.586	300
2007-02-08 00:00:00	13.512	13.857	13.291	13.689	304
2007-02-09 00:00:00	13.7	13.946	13.547	13.762	256
2007-02-11 00:00:00	13.815	13.91	13.679	13.811	19
2007-02-12 00:00:00	13.805	13.924	13.36	13.69	425
2007-02-13 00:00:00	13.671	13.988	13.469	13.79	360
2007-02-14 00:00:00	13.831	14.077	13.667	13.941	382
2007-02-15 00:00:00	13.884	14.064	13.647	13.895	490
2007-02-16 00:00:00	13.895	14.038	13.655	13.866	334
2007-02-18 00:00:00	13.912	13.986	13.788	13.836	2
2007-02-19 00:00:00	13.848	14.066	13.762	13.894	230
2007-02-20 00:00:00	13.973	14.045	13.513	13.773	383
2007-02-21 00:00:00	13.832	14.353	13.5	14.085	504
2007-02-22 00:00:00	14.095	14.351	13.956	14.048	499
2007-02-23 00:00:00	14.096	14.631	13.988	14.464	470
2007-02-25 00:00:00	14.467	14.598	14.386	14.471	19
2007-02-26 00:00:00	14.537	14.754	14.286	14.549	315
2007-02-27 00:00:00	14.546	14.704	13.868	14.09	651
2007-02-28 00:00:00	14.125	14.418	13.823	14.243	603
2007-03-01 00:00:00	14.252	14.333	13.259	13.5	587
2007-03-02 00:00:00	13.49	13.744	12.578	12.836	493
2007-03-04 00:00:00	12.82	12.938	12.679	12.755	21
2007-03-05 00:00:00	12.732	12.926	12.213	12.542	611
2007-03-06 00:00:00	12.488	13.008	12.441	12.918	636
2007-03-07 00:00:00	12.818	13.053	12.599	12.898	522
2007-03-08 00:00:00	12.841	13.155	12.727	12.958	334
2007-03-09 00:00:00	12.844	13.082	12.621	12.859	475
2007-03-11 00:00:00	12.838	12.948	12.707	12.806	24
2007-03-12 00:00:00	12.813	13.086	12.628	12.921	334
2007-03-13 00:00:00	12.838	13.028	12.556	12.696	245
2007-03-14 00:00:00	12.637	12.874	12.365	12.829	227
2007-03-15 00:00:00	12.737	13.092	12.636	13.014	218
2007-03-16 00:00:00	12.919	13.179	12.745	13.074	215
2007-03-18 00:00:00	13.107	13.152	12.904	13.015	7
2007-03-19 00:00:00	13.117	13.215	12.883	13.083	176
2007-03-20 00:00:00	13.016	13.375	12.944	13.163	219
2007-03-21 00:00:00	13.179	13.38	12.996	13.3	213
2007-03-22 00:00:00	13.25	13.517	13.128	13.299	226
2007-03-23 00:00:00	13.289	13.443	12.959	13.062	212
2007-03-26 00:00:00	13.17	13.395	12.954	13.276	191
2007-03-27 00:00:00	13.305	13.415	12.995	13.272	223
2007-03-28 00:00:00	13.186	13.474	13.037	13.271	215
2007-03-29 00:00:00	13.322	13.362	12.953	13.145	221
2007-03-30 00:00:00	13.197	13.419	13.061	13.317	207
2007-04-01 00:00:00	13.365	13.384	13.191	13.257	3
2007-04-02 00:00:00	13.269	13.444	12.827	13.201	195
2007-04-03 00:00:00	13.154	13.523	13.029	13.316	209
2007-04-04 00:00:00	13.298	13.646	13.164	13.567	208
2007-04-05 00:00:00	13.447	13.765	13.326	13.629	192
2007-04-06 00:00:00	13.575	13.797	13.488	13.695	40
2007-04-08 00:00:00	13.516	13.729	13.463	13.634	2
2007-04-09 00:00:00	13.643	13.859	13.444	13.688	184
2007-04-10 00:00:00	13.602	13.999	13.533	13.808	220
2007-04-11 00:00:00	13.742	13.985	13.579	13.8	223
2007-04-12 00:00:00	13.784	13.948	13.515	13.804	212
2007-04-13 00:00:00	13.714	14.107	13.635	13.991	190
2007-04-16 00:00:00	13.975	14.126	13.68	14.004	208
2007-04-17 00:00:00	13.903	14.093	13.709	13.834	195
2007-04-18 00:00:00	13.773	14.062	13.704	13.869	211
2007-04-19 00:00:00	13.816	14.023	13.39	13.549	232
2007-04-20 00:00:00	13.597	13.988	13.505	13.898	199
2007-04-22 00:00:00	13.809	13.924	13.734	13.825	1
2007-04-23 00:00:00	13.883	14.089	13.621	13.941	194
2007-04-24 00:00:00	13.989	14.092	13.532	13.639	239
2007-04-25 00:00:00	13.75	13.879	13.514	13.698	226
2007-04-26 00:00:00	13.764	13.855	13.035	13.207	225
2007-04-27 00:00:00	13.273	13.558	13.029	13.466	220
2007-04-29 00:00:00	13.374	13.546	13.297	13.297	5
2007-04-30 00:00:00	13.413	13.554	13.2	13.411	216
2007-05-01 00:00:00	13.349	13.474	12.977	13.299	228
2007-05-02 00:00:00	13.278	13.345	12.841	13.095	235
2007-05-03 00:00:00	13.11	13.449	13.013	13.329	220
2007-05-04 00:00:00	13.296	13.565	13.157	13.367	214
2007-05-06 00:00:00	13.431	13.487	13.247	13.356	3
2007-05-07 00:00:00	13.36	13.603	13.285	13.41	193
2007-05-08 00:00:00	13.335	13.573	13.097	13.345	231
2007-05-09 00:00:00	13.419	13.549	13.03	13.273	233
2007-05-10 00:00:00	13.32	13.412	12.829	12.974	232
2007-05-11 00:00:00	12.865	13.272	12.754	13.193	250
2007-05-13 00:00:00	13.074	13.236	13.018	13.147	4
2007-05-14 00:00:00	13.153	13.291	12.868	13.119	224
2007-05-15 00:00:00	13.109	13.284	12.808	13.047	226
2007-05-16 00:00:00	13.083	13.213	12.645	12.894	232
2007-05-17 00:00:00	12.756	12.95	12.488	12.784	225
